_id,bathrooms,bedrooms,beds,business_travel_ready,city,host_languages,latitude,longitude,monthly_price_factor,name,neighborhood,new_listing,person_capacity,price_rate,price_rate_type,property_type,refundable,reviews_count,room_type,scrim_color,section_offset,star_rating,superhost,tier_id,user_id,user_name,verified,weekly_price_factor
11556401,1.0,2,3,False,Bingin Beach,,-8.805255372204991,115.11559280405459,1.0,The Shack at Bingin Rights,South Kuta/Bukit Peninsula,False,4,167,nightly,11,False,2,entire_home,,1,,False,0,10112109,Lorraine,False,1.0
6547163,1.0,1,1,False,South Kuta,"en,es,fr,id,it,pt",-8.812114659906143,115.10393765032933,0.9,TORAJA BAMBU HOUSE 1 - SEAVIEW PADANG PADANG,South Kuta/Bukit Peninsula,False,2,82,nightly,43,False,131,private_room,#533B21,1,4.5,False,0,32173865,Lina,False,0.95
2505182,1.0,2,3,False,Badung,"en,id",-8.807679934245842,115.11081449458636,0.8,kubu bingin,South Kuta/Bukit Peninsula,False,4,75,nightly,24,False,120,entire_home,#121912,1,5.0,True,0,10304534,Mega &  Rebecca,False,0.8
16851548,1.0,1,1,False,Kuta Selatan,"en,fr,id",-8.82138,115.117157,1.0,Bamboo Bungalow with Amazing Infinity Pool,South Kuta/Bukit Peninsula,False,2,76,nightly,11,False,78,entire_home,#404912,1,5.0,False,0,76474334,Owie,False,0.9
14113697,1.0,1,1,False,Pecatu,,-8.818589108653777,115.10353447983526,0.75,Rumah Wayan Uluwatu - Bungalow-1,South Kuta/Bukit Peninsula,False,2,67,nightly,38,False,34,entire_home,#171522,1,5.0,True,0,83684535,Wayan,False,0.9
15592166,1.0,1,1,False,Kuta Selatan,"en,fr,id",-8.821211,115.11731,1.0,#6: A two-storey bamboo bungalow with shared Pool,South Kuta/Bukit Peninsula,False,2,70,nightly,23,False,97,entire_home,#4B2906,1,4.5,False,0,76474334,Owie,False,1.0
14114077,1.0,1,1,False,Pecatu,,-8.818546376235709,115.10239998894485,0.75,Rumah Wayan Uluwatu - Bungalow-3,South Kuta/Bukit Peninsula,False,2,67,nightly,38,False,37,entire_home,#13131D,1,5.0,True,0,83684535,Wayan,False,0.9
15988918,1.0,1,1,False,Pecatu,,-8.819774104835869,115.10350429010269,0.75,Rumah Wayan Uluwatu - Bungalow-0,South Kuta/Bukit Peninsula,False,2,67,nightly,38,False,44,entire_home,#282D15,1,5.0,True,0,83684535,Wayan,False,0.9
9650893,2.0,2,2,False,Nusa Dua,"en,ru",-8.82099015861517,115.21783713338863,0.85,"DevaDeyam - Private Villa, Nusa Dua",South Kuta/Bukit Peninsula,False,4,59,nightly,2,False,10,entire_home,#422C1D,1,4.5,False,0,8560103,Deva,False,0.95
21651427,1.0,1,1,False,Kuta Selatan,"en,es,id,ja,pt,zh",-8.80569078639068,115.11435966681707,1.0,Tropical Bingin Beach Hillside Ocean View Cabin #2,South Kuta/Bukit Peninsula,False,2,61,nightly,24,False,13,private_room,#42300A,1,4.5,False,0,4266227,"Jing, Wayana + Bukit Vista Hosts",False,0.84
22974384,1.0,1,1,False,Kuta Selatan,"en,id,ja",-8.815501058532769,115.10568111651455,1.0,Rustic Wooden Cabin in Padang-Padang Hillside #NB,South Kuta/Bukit Peninsula,False,2,55,nightly,4,False,2,private_room,#2B201E,1,,False,0,59669198,Bayu & Wayana,False,1.0
